,Vegan,school,starbucks,night_club,airport,latitude,longitude,city,total_Rating
0,0,0,0,0,8,37.4784804,-122.073003,Palo Alto,1.6
1,0,0,0,0,8,37.46096792,-122.073003,Palo Alto,1.6
2,0,0,0,0,8,37.44345544,-122.073003,Palo Alto,1.6
3,4,4,2,0,8,37.42594296,-122.073003,Palo Alto,3.6
4,10,10,4,0,8,37.40843048,-122.073003,Palo Alto,6.4
5,10,10,10,10,6,37.390918,-122.073003,Palo Alto,9.2
6,0,0,0,0,8,37.4784804,-122.08902271428572,Palo Alto,1.6
7,0,0,0,0,8,37.46096792,-122.08902271428572,Palo Alto,1.6
8,2,4,0,0,8,37.44345544,-122.08902271428572,Palo Alto,2.8
9,8,10,2,0,8,37.42594296,-122.08902271428572,Palo Alto,5.6
10,10,10,6,0,8,37.40843048,-122.08902271428572,Palo Alto,6.8
11,10,10,8,8,8,37.390918,-122.08902271428572,Palo Alto,8.8
12,0,0,0,0,6,37.4784804,-122.10504242857142,Palo Alto,1.2
13,0,10,0,0,8,37.46096792,-122.10504242857142,Palo Alto,3.6
14,2,10,0,0,8,37.44345544,-122.10504242857142,Palo Alto,4.0
15,8,10,4,0,8,37.42594296,-122.10504242857142,Palo Alto,6.0
16,10,10,10,0,8,37.40843048,-122.10504242857142,Palo Alto,7.6
17,10,10,8,0,8,37.390918,-122.10504242857142,Palo Alto,7.2
18,0,4,0,0,6,37.4784804,-122.12106214285714,Palo Alto,2.0
19,2,10,4,0,6,37.46096792,-122.12106214285714,Palo Alto,4.4
20,6,10,2,0,8,37.44345544,-122.12106214285714,Palo Alto,5.2
21,10,10,4,2,8,37.42594296,-122.12106214285714,Palo Alto,6.8
22,10,10,8,0,8,37.40843048,-122.12106214285714,Palo Alto,7.2
23,10,10,10,0,8,37.390918,-122.12106214285714,Palo Alto,7.6
24,4,10,2,0,6,37.4784804,-122.13708185714286,Palo Alto,4.4
25,2,10,4,2,6,37.46096792,-122.13708185714286,Palo Alto,4.8
26,4,10,2,0,6,37.44345544,-122.13708185714286,Palo Alto,4.4
27,10,10,6,4,8,37.42594296,-122.13708185714286,Palo Alto,7.6
28,10,10,2,2,8,37.40843048,-122.13708185714286,Palo Alto,6.4
29,0,10,0,0,8,37.390918,-122.13708185714286,Palo Alto,3.6
30,4,10,2,0,6,37.4784804,-122.15310157142858,Palo Alto,4.4
31,4,10,2,2,6,37.46096792,-122.15310157142858,Palo Alto,4.8
32,10,10,8,6,6,37.44345544,-122.15310157142858,Palo Alto,8.0
33,10,10,6,8,6,37.42594296,-122.15310157142858,Palo Alto,8.0
34,0,10,0,2,6,37.40843048,-122.15310157142858,Palo Alto,3.6
35,0,4,0,0,6,37.390918,-122.15310157142858,Palo Alto,2.0
36,0,10,2,0,6,37.4784804,-122.16912128571428,Palo Alto,3.6
37,8,10,2,0,6,37.46096792,-122.16912128571428,Palo Alto,5.2
38,10,10,10,6,6,37.44345544,-122.16912128571428,Palo Alto,8.4
39,10,10,6,6,6,37.42594296,-122.16912128571428,Palo Alto,7.6
40,0,8,0,2,6,37.40843048,-122.16912128571428,Palo Alto,3.2
41,0,0,0,0,6,37.390918,-122.16912128571428,Palo Alto,1.2
42,4,10,2,0,6,37.4784804,-122.185141,Palo Alto,4.4
43,10,10,8,2,6,37.46096792,-122.185141,Palo Alto,7.2
44,10,10,10,2,6,37.44345544,-122.185141,Palo Alto,7.6
45,10,10,8,2,6,37.42594296,-122.185141,Palo Alto,7.2
46,0,6,0,0,6,37.40843048,-122.185141,Palo Alto,2.4
47,0,4,0,0,6,37.390918,-122.185141,Palo Alto,2.0
48,0,10,0,0,4,37.8255226,-122.3693356,San Francisco,2.8
49,0,4,0,0,4,37.808768666666666,-122.3693356,San Francisco,1.6
50,0,0,0,0,6,37.79201473333333,-122.3693356,San Francisco,1.2
51,0,0,0,0,6,37.7752608,-122.3693356,San Francisco,1.2
52,0,0,0,0,6,37.758506866666664,-122.3693356,San Francisco,1.2
53,0,6,0,0,6,37.74175293333333,-122.3693356,San Francisco,2.4
54,0,4,0,0,6,37.724999,-122.3693356,San Francisco,2.0
55,0,6,0,0,4,37.8255226,-122.385528,San Francisco,2.0
56,0,2,0,0,4,37.808768666666666,-122.385528,San Francisco,1.2
57,10,10,10,10,6,37.79201473333333,-122.385528,San Francisco,9.2
58,10,8,10,10,6,37.7752608,-122.385528,San Francisco,8.8
59,10,10,4,2,6,37.758506866666664,-122.385528,San Francisco,6.4
60,2,10,2,2,6,37.74175293333333,-122.385528,San Francisco,4.4
61,0,10,0,0,6,37.724999,-122.385528,San Francisco,3.2
62,0,0,0,0,4,37.8255226,-122.4017204,San Francisco,0.8
63,10,10,10,10,4,37.808768666666666,-122.4017204,San Francisco,8.8
64,10,10,10,10,6,37.79201473333333,-122.4017204,San Francisco,9.2
65,10,10,10,10,6,37.7752608,-122.4017204,San Francisco,9.2
66,10,10,10,10,6,37.758506866666664,-122.4017204,San Francisco,9.2
67,6,10,2,10,6,37.74175293333333,-122.4017204,San Francisco,6.8
68,2,10,0,2,6,37.724999,-122.4017204,San Francisco,4.0
69,0,0,0,0,2,37.8255226,-122.4179128,San Francisco,0.4
70,10,10,10,10,4,37.808768666666666,-122.4179128,San Francisco,8.8
71,10,10,10,10,6,37.79201473333333,-122.4179128,San Francisco,9.2
72,10,10,10,10,6,37.7752608,-122.4179128,San Francisco,9.2
73,10,10,8,10,6,37.758506866666664,-122.4179128,San Francisco,8.8
74,10,10,0,10,6,37.74175293333333,-122.4179128,San Francisco,7.2
75,4,10,0,2,6,37.724999,-122.4179128,San Francisco,4.4
76,0,0,0,0,2,37.8255226,-122.43410519999999,San Francisco,0.4
77,10,10,8,10,2,37.808768666666666,-122.43410519999999,San Francisco,8.0
78,10,10,10,10,4,37.79201473333333,-122.43410519999999,San Francisco,8.8
79,10,10,10,10,6,37.7752608,-122.43410519999999,San Francisco,9.2
80,10,10,6,10,6,37.758506866666664,-122.43410519999999,San Francisco,8.4
81,10,10,4,10,6,37.74175293333333,-122.43410519999999,San Francisco,8.0
82,2,10,0,8,6,37.724999,-122.43410519999999,San Francisco,5.2
83,0,0,0,0,2,37.8255226,-122.4502976,San Francisco,0.4
84,2,10,4,8,2,37.808768666666666,-122.4502976,San Francisco,5.2
85,10,10,10,10,2,37.79201473333333,-122.4502976,San Francisco,8.4
86,10,10,8,10,4,37.7752608,-122.4502976,San Francisco,8.4
87,10,10,4,10,4,37.758506866666664,-122.4502976,San Francisco,7.6
88,6,10,6,0,4,37.74175293333333,-122.4502976,San Francisco,5.2
89,6,10,2,8,4,37.724999,-122.4502976,San Francisco,6.0
90,0,0,0,0,2,37.8255226,-122.46649,San Francisco,0.4
91,0,8,0,0,2,37.808768666666666,-122.46649,San Francisco,2.0
92,10,10,2,10,2,37.79201473333333,-122.46649,San Francisco,6.8
93,10,10,4,10,4,37.7752608,-122.46649,San Francisco,7.6
94,10,10,6,4,4,37.758506866666664,-122.46649,San Francisco,6.8
95,4,10,6,2,4,37.74175293333333,-122.46649,San Francisco,5.2
96,8,10,8,6,4,37.724999,-122.46649,San Francisco,7.2
97,0,4,2,6,10,40.797364,-73.923427,New York,4.4
98,6,2,4,2,10,40.78163261666667,-73.923427,New York,4.8
99,10,8,8,10,10,40.76590123333334,-73.923427,New York,9.2
100,10,10,10,10,10,40.750169850000006,-73.923427,New York,10.0
101,8,10,2,4,10,40.73443846666667,-73.923427,New York,6.8
102,0,2,0,10,10,40.718707083333335,-73.923427,New York,4.4
103,10,10,2,10,10,40.7029757,-73.923427,New York,8.4
104,10,10,4,10,10,40.797364,-73.93896271428572,New York,8.8
105,8,10,10,8,10,40.78163261666667,-73.93896271428572,New York,9.2
106,10,10,10,10,10,40.76590123333334,-73.93896271428572,New York,10.0
107,8,10,4,10,10,40.750169850000006,-73.93896271428572,New York,8.4
108,8,10,4,8,10,40.73443846666667,-73.93896271428572,New York,8.0
109,10,10,4,10,10,40.718707083333335,-73.93896271428572,New York,8.8
110,10,10,2,10,10,40.7029757,-73.93896271428572,New York,8.4
111,10,10,10,10,10,40.797364,-73.95449842857143,New York,10.0
112,10,10,10,10,10,40.78163261666667,-73.95449842857143,New York,10.0
113,10,10,10,10,10,40.76590123333334,-73.95449842857143,New York,10.0
114,10,10,10,10,10,40.750169850000006,-73.95449842857143,New York,10.0
115,10,4,4,10,10,40.73443846666667,-73.95449842857143,New York,7.6
116,10,10,8,10,10,40.718707083333335,-73.95449842857143,New York,9.6
117,10,10,4,10,10,40.7029757,-73.95449842857143,New York,8.8
118,10,10,10,10,10,40.797364,-73.97003414285714,New York,10.0
119,10,10,10,10,10,40.78163261666667,-73.97003414285714,New York,10.0
120,10,10,10,10,10,40.76590123333334,-73.97003414285714,New York,10.0
121,10,10,10,10,10,40.750169850000006,-73.97003414285714,New York,10.0
122,10,10,10,10,10,40.73443846666667,-73.97003414285714,New York,10.0
123,10,10,4,10,10,40.718707083333335,-73.97003414285714,New York,8.8
124,10,10,2,10,10,40.7029757,-73.97003414285714,New York,8.4
125,10,10,10,8,10,40.797364,-73.98556985714286,New York,9.6
126,10,10,10,10,10,40.78163261666667,-73.98556985714286,New York,10.0
127,10,10,10,10,10,40.76590123333334,-73.98556985714286,New York,10.0
128,10,10,10,10,10,40.750169850000006,-73.98556985714286,New York,10.0
129,10,10,10,10,10,40.73443846666667,-73.98556985714286,New York,10.0
130,10,10,10,10,10,40.718707083333335,-73.98556985714286,New York,10.0
131,10,10,10,0,10,40.7029757,-73.98556985714286,New York,8.0
132,0,8,2,10,10,40.797364,-74.00110557142858,New York,6.0
133,2,10,6,8,10,40.78163261666667,-74.00110557142858,New York,7.2
134,10,10,10,10,10,40.76590123333334,-74.00110557142858,New York,10.0
135,10,10,10,10,10,40.750169850000006,-74.00110557142858,New York,10.0
136,10,10,10,10,10,40.73443846666667,-74.00110557142858,New York,10.0
137,10,10,10,10,10,40.718707083333335,-74.00110557142858,New York,10.0
138,10,10,10,6,10,40.7029757,-74.00110557142858,New York,9.2
139,0,10,2,10,10,40.797364,-74.01664128571429,New York,6.4
140,6,10,2,10,10,40.78163261666667,-74.01664128571429,New York,7.6
141,6,10,0,8,10,40.76590123333334,-74.01664128571429,New York,6.8
142,10,10,6,10,10,40.750169850000006,-74.01664128571429,New York,9.2
143,10,10,10,10,10,40.73443846666667,-74.01664128571429,New York,10.0
144,10,10,10,10,10,40.718707083333335,-74.01664128571429,New York,10.0
145,10,10,10,4,10,40.7029757,-74.01664128571429,New York,8.8
146,0,2,2,2,10,40.797364,-74.032177,New York,3.2
147,6,10,2,10,10,40.78163261666667,-74.032177,New York,7.6
148,6,10,0,10,10,40.76590123333334,-74.032177,New York,7.2
149,10,8,4,8,10,40.750169850000006,-74.032177,New York,8.0
150,6,2,10,0,10,40.73443846666667,-74.032177,New York,5.6
151,10,6,10,0,10,40.718707083333335,-74.032177,New York,7.2
152,0,0,2,0,10,40.7029757,-74.032177,New York,2.4
153,10,4,2,2,8,37.418531,-121.9235529,Sunnyvale,5.2
154,6,10,6,0,8,37.401200675,-121.9235529,Sunnyvale,6.0
